OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
1,England,104000000014115,Emilie's Wood,n/a,n/a,Validated,Broadleaved (>80%),CS 464281,7.63284887,5,63c5e319-80d1-459a-accf-4d6f7bcc7624
2,Scotland,104000000014502,Kinpurney Farm,n/a,n/a,Verified,Mixed predominantly conifer (50-80%),4888192,38.8455762,5,bb0d9d81-3ff3-49f6-8dab-17ba8be2fb53
3,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,54.15271674,5,b8fadab6-b867-452d-80b5-3ac0b1888d2f
4,Scotland,103000000004605,Drumbow,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,37.95906636,5,2c296621-3797-4644-9432-bf8e67b70d97
5,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,10.10471144,5,6c3e5a66-c15c-4322-95c4-a5ca739ea116
6,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,16.27905135,5,cd893ba4-ef2d-4abe-8a51-fba40c1d54fa
7,Scotland,103000000004607,Crossrigg,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,29.398722,5,2c099bc3-009d-4faa-88ac-e7d1046a762f
8,England,104000000012690,Bridge End Farm,"103000000006046
",2017-2020,Validated,Mixed predominantly broadleaved (50-80%),37947,12.42689217,5,573f50a6-c2ef-42e5-9101-3dc98267e791
9,Wales,104000000013201,Penygaer,"103000000017144
",2020 HWF Group,Validated,Broadleaved (>80%),104-13201-GWC,9.60417577,5,fdae89c5-c00c-496d-b495-6ebad4ca2185
10,Wales,104000000013210,Pantyrhyn,103000000017144,2020 HWF Group,Validated,Broadleaved (>80%),104-13210-GWC,2.51261538,5,06bd93cd-d353-4dd3-8b72-5d38558bda25
11,Wales,104000000013203,Rhydlanfair,103000000006745,GrwpCoed.Cymru1,Validated,Broadleaved (>80%),A0015738-GWC,1.81206634,5,1aa494bc-2b76-4a61-a1c1-c4173af60f96
12,Scotland,103000000004604,Inversnaid,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,120.77856123,5,caf75a6f-3a64-4b6c-9889-5fe433bd199f
13,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,294.77970694,5,9c79d801-7ce8-4020-9b88-733b251038e5
14,Scotland,103000000004614,Glen Sherup,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,308.26811558,5,bc979aac-4a38-41bf-accd-f961e3a286d9
15,Wales,104000000013494,Pencefn Drysgol,103000000017148,SFM Group 1,Validated,Mixed predominantly broadleaved (50-80%),"GWC P0000138, P0000242, P0000264",32.24230489,5,2cf0cd59-4cfa-4a67-9c4a-a3ba1b53893c
16,England,104000000012695,Ormsgill Green,n/a,n/a,Validated,Broadleaved (>80%),EWGS 33460 & CS 37881,27.13247945,5,ddb273e9-22d8-486c-9f1a-a933ef301784
17,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Conifer (>80%),15FGS03174,207.29431474,5,1d89ec95-a234-44c7-aad3-a38409fc3a68
18,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Broadleaved (>80%),15FGS03174,41.69892346,5,740ab5d0-4398-41f4-bcfa-fbac928f42ce
19,Scotland,104000000014894,Rig of Airie,n/a,n/a,Verified,Open ground,15FGS03174,98.49606846,5,b837a083-f55a-4cc0-991b-31e64cbdf497
20,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,685.50865425,5,852c5d74-9df9-44f3-a2f5-4ed07688f831
21,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,581.1641262,5,6fd8bb68-7162-423e-bf70-061534e876d6
22,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,450.10333743,5,bc8583a7-2234-4786-b116-8ddefdec5f64
23,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,143.04873104,5,0258af21-5700-45f4-8439-2bfb3b3226b6
24,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,9.22068333,5,c12c9767-b9e2-4999-9be1-a295022fae26
25,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,929.93456062,5,2575f693-b321-41ff-8104-ff438db8512b
26,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,7902.95006596,5,dcc05a0a-cef5-4aa8-9ba7-8b04da6031cd
27,Scotland,103000000004530,Loch Katrine,103000000000757,Scottish Forest Alliance,Validated,Mixed predominantly conifer (50-80%),No Grant,163.21991404,5,c20d3b99-52c9-4664-82dc-6f58bd075ccc
28,Scotland,"103000000004599
",Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,1506.75802361,5,e25e2ecc-53ca-4125-aec5-8ba12967c37c
29,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,2603.81485368,5,995c4bb0-e036-4afb-87e1-89be84b3d111
30,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,124.01958496,5,c2c125d7-5d78-4245-b75c-b1c78209f13d
31,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,170.77301824,5,6e4bc06c-47da-4849-958f-001d61261125
32,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,423.00187386,5,13ab7305-6580-4425-8dec-95d63e21c9dd
33,Scotland,103000000004599,Kinloch Hills,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,23.45100892,5,7e7cb526-049f-42ac-9591-b9b8f03b9792
34,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,1010.11587544,5,bddc9242-0f21-45be-a60b-89ac72848253
35,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,1099.43457997,5,6e9504d2-20cc-4bbc-8b48-6a7bebdb918a
36,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,205.91524454,5,aa1ecc11-79b8-46db-8516-18580b122d93
37,Scotland,103000000004611,Corrimony,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,405.92589704,5,8163b8d3-cc80-4c7b-9aea-7825552c97dd
38,Scotland,103000000004598,Glenmore,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,309.27121389,5,c5f13e7a-66e7-4d10-af6d-fd7ba81a8f82
39,England,104000000015396,Hedley Hall East,n/a,n/a,Validated,Broadleaved (>80%),WCF 03 18/19,13.65312048,5,77962c5d-e000-4173-a85b-9d1f17713768
40,England,104000000014207,Great Thorndean,n/a,n/a,Validated,Broadleaved (>80%),WCPG 14 17_18,11.95632231,5,27980eb5-951b-46ef-b836-1c30f8f4bfd8
